,clg_names,address,contact,intake,email,location
0,Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering,"8-Shephard,Road, P.O.,Box.4627,Byculla,Mumbai,400008",23012922/23051356/23081294,420,mhssce@yahoo.in,Mumbai
1,Fr. Conceicao Rodrigues College of Engineering,"Fr. Agnel,Ashram,Bandra,(West),Mumbai,400050",67114101/67114104 ,240,crce@fragnel.ac.in,Mumbai
2,Mahavir Education Trust's Shah and Anchor Kutchi Enginering College,"Mahavir Education Trust Chowk,W.T.Patil Marg,Next to Dukes Co.,Chembur,Mumbai,400088",25580854/25585730,300,mail@shahandanchor.com,Mumbai
3,Thadomal Shahani Engineering College,"32nd Road,TPS III,Bandra,Mumbai,400050",26047087/26495808,500,gtthampi@gmail.com,Mumbai
4,Padmabhushan Vasantdada Patil Pratishthan's College of Engineering,"Eastern Express Highway, Near Everard Nagar,Sion Chunabhatti,Chunnab hatti,Mumbai,400022",24070547/24021526/24071354/1385,480,principal@pvppcoe.ac.in,Mumbai
5,Vivekanand Education Society's Institute of Technology,"Hashu Advani Memorial Complex, Collector's Colony,R.C. Marg, Chembur, Mumbai,400071",61532532/25227864,360,vesit@vsnl.com,Mumbai
6,Watumull Institute of Electronic Engineering and Computer Technology,"Plot No.47, R.g. Thadani Marg,Worli Sea Face, Worli, Mumbai, 400018",24935281/24974858/1506,540,registrar@watumull.edu,Mumbai
7,Shri Vile-Parle Kelavani Mandal's Dwarkadas J. Sanghvi College of Engineering,"Plot No.U-15, J.V.P.D. Scheme,Gulmohar Road, VileParle(West), Mumbai, 400056",26107010/26107461,120,djscoe@djscoe.org,Mumbai
8,Rizvi Education Society's Rizvi College of Engineering,"Rizvi Complex,  Off. Carter Road, Bandra(West), Mumbai, 400050",26052070/26043866,360,info@eng.rizvi.edu.in,Mumbai
9,Manjara Charitable Trust's Rajiv Gandhi Institute of Technology,"Survey No.161, CTS no.1976/48, Juhu Versova Link Road, Behind HDFC Bank, Versova, Andheri(West), Mumbai, 400061",26707025/26707027/28,120,principal.rgit@mctrgit.ac.in,Mumbai
10,St. Francies Institute of Technology,"Post Box No.8456, Mount Poinsur,S.V.P. Road, Borivali(West), Mumbai, 400103",28908585/28928585,120,sfedu@sfitengg.org,Mumbai
11,Atharva Educational Trust's Atharva College of Engineering,"Plot No.8/12, Survey No.263, Malad Marve Road, Charkop , Malad(West), Mumbai, 400095",28644100/28645100,240,ace@atharvaeducation.com,Mumbai
12,Zagdu Singh Charitable Trust's Thakur College of Engineering & Technology,"A-Block, Thakur Educational Campus, Shyamnarayan Thakur Marg, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101",24161126/24211720/22,300,tcet@thakureducation.org,Mumbai
13,The Bombay Salesian Society's Don Bosco Institute of Technology,"Don Bosco Center for Learning Campus, D-Wing Premier Automobiles Road, Near Vidyavihar, Kurla, W, Maharashtra 400070",67308000/67308106/07,780,dbit@dbit.in,Mumbai
14,K.J. Somaiya Institute of Engineering and Information Technology,"Somaiya Ayurvihar Complex Eastern Express Highway Near Everard Nagar, Sion East, Mumbai, Maharashtra 400022",25040508/25042018,800,principal.engg@somaiya.edu,Mumbai
15,Bharatiya Vidya Bhavan's Sardar Patel Institute of Technology,"Bhavans Campus, Old D N Nagar, Munshi Nagar, Andheri West, Mumbai, Maharashtra 400058",24080331/25135845 ,360,principal_spit@spit.ac.in,Mumbai
16,Xavier Institute of Engineering,"Opposite S.L.Raheja Hospital, Mahim Causeway, Mahim (West), Mumbai, Maharashtra 400016",26707440/85/2026701410/26287250,300,office@xavierengg.com,Mumbai
17,Bharati Vidyapeeth's College of Engineering,"Sion-Panvel Expressway, Sector 7, CBD Belapur, Near Kharghar Railway Station, Navi Mumbai, Maharashtra 400614",24459737/24454559/1961,180,bvcoe@giasbm01.vsnl.net.in,Navi Mumbai
18,Mahatma Gandhi Mission's College of Engineering & Technology,"Plot No. 1, 2, Sion - Panvel Expressway, Sector 18, Kamothe, Navi Mumbai, Maharashtra 410209",27572140/27571074,360,office.cet@mgmmumbai.ac.in,Navi Mumbai
19,Ramrao Adik Education Society's Ramrao Adik Institute of Technology,"Sector 7, Phase I, Pad. Dr. D. Y. Patil Vidyapeeth, Nerul, Navi Mumbai, Maharashtra 400706",27423403/65138119,240,rait@rait.ac.in,Navi Mumbai
20,Terna Public Charitable Trust's Terna College of Engineering,"Railway Station, Plot No 12, Sector-22, opp. Nerul, Phase 2, Nerul West, Navi Mumbai, 400706",27709574/27709505,360,exam@terna.org,Navi Mumbai
21,Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,"Sector 4, Kharghar, Navi Mumbai, Maharashtra 410210",27718134/61115444,180,principal@gmail.com,Navi Mumbai
22,Smt. Indira Gandhi Engineering College,"Sector 8, Plot 1, Ghansoli, Navi Mumbai, Maharashtra 400701",27745722/65252102,450,contactus@sigce.edu.in,Navi Mumbai
